1,中国军网,老兵泪奔：这是我妈做的！...,626.0 万,10.0 万,8.7 万,2019-02-11 21:39:56.751407
2,何炅,拜年拜年,489.4 万,7.8 万,9428,2019-02-11 21:39:56.752397
3,潘长江,初来乍到！不是太懂！谢谢...,416.5 万,11.3 万,1.8 万,2019-02-11 21:39:56.752397
4,MONC,3,334.4 万,8.8 万,15.6 万,2019-02-11 21:39:56.752397
5,人民日报,习近平看望慰问国旗中队官...,302.3 万,5.0 万,4.2 万,2019-02-11 21:39:56.752397
6,回到过去,这禁放烟花把我给逼的,301.6 万,8.5 万,17.8 万,2019-02-11 21:39:56.752397
7,成都大熊猫繁育研究基地,醒醒吧！您的假期余额不足...,300.0 万,6.1 万,12.4 万,2019-02-11 21:39:56.752397
8,马可馨,为什么泰国街头魔术师一千...,296.4 万,5.9 万,2.5 万,2019-02-11 21:39:56.752397
9,皮皮虾APP,#皮这一下有几分 #情感...,294.2 万,8.4 万,9.0 万,2019-02-11 21:39:56.752397
10,杭州交通918,1200多万的迈巴赫倒车...,291.0 万,10.0 万,9.2 万,2019-02-11 21:39:56.752397
11,钢铁侠的发小Mr X,听说过年再发这个可以火，...,288.8 万,6.2 万,12.2 万,2019-02-11 21:40:04.451667
12,不驯男人王鑫,刚刚的事，看一次笑一次，...,288.8 万,8.6 万,18.6 万,2019-02-11 21:40:04.451667
13,环球网,温馨一幕！小女孩对礼让小...,287.2 万,6.5 万,3.1 万,2019-02-11 21:40:04.451667
14,尼格买提,满足大家对春晚主持人的要...,285.5 万,6.2 万,11.2 万,2019-02-11 21:40:04.451667
15,孝城特警,元宵将至，请文明燃放烟花...,283.9 万,4.7 万,8.5 万,2019-02-11 21:40:04.451667
16,王鹏宇在努力,好久没有这样被盘盘盘盘过...,280.7 万,5.9 万,4.2 万,2019-02-11 21:40:04.451667
17,小豪,秘密基地2来了，希望你们...,280.4 万,5.6 万,4.8 万,2019-02-11 21:40:04.451667
18,CGTN,#迪丽热巴抢镜CGTN记...,279.5 万,3.3 万,1.6 万,2019-02-11 21:40:04.451667
19,李子园..,决定把你还回人海的那刻起...,275.5 万,6.3 万,7.2 万,2019-02-11 21:40:04.451667
20,富贵花开_251344305,看到的财运亨通希望你看到,274.5 万,7.7 万,11.8 万,2019-02-11 21:40:04.451667
21,名侦探小宇,公众场所饮品不要离手，特...,273.0 万,6.0 万,15.4 万,2019-02-11 21:40:12.685856
22,名侦探小宇,女生独自出门遇到需要帮助...,272.4 万,5.6 万,15.4 万,2019-02-11 21:40:12.685856
23,途路人,送一颗心给你们 希望新的...,271.8 万,6.3 万,13.2 万,2019-02-11 21:40:12.685856
24,陈翔六点半,老板的这种要求，你能理解...,269.5 万,3.8 万,8.4 万,2019-02-11 21:40:12.685856
25,阿仟,摆了两天的作品，就为了祝...,268.4 万,8.1 万,10.6 万,2019-02-11 21:40:12.685856
26,大车小车,#烟花 现在的烟花越来越...,266.7 万,4.8 万,8.0 万,2019-02-11 21:40:12.685856
27,柯铭,让熊孩子承认错误的方法有...,263.0 万,6.3 万,13.0 万,2019-02-11 21:40:12.685856
28,未知数.x,网恋+异地恋3292天，...,262.6 万,9.7 万,13.2 万,2019-02-11 21:40:12.685856
29,涮羊肉14,2019，再多烦恼，也要...,262.3 万,6.8 万,9.4 万,2019-02-11 21:40:12.685856
30,无,@无发了一个抖音短视频，...,261.5 万,7.0 万,4.4 万,2019-02-11 21:40:12.685856
31,强 ,好看的皮囊千篇一律，@...,261.2 万,6.1 万,3.2 万,2019-02-11 21:40:21.070186
32,徐子洋a,第1314次发了,260.7 万,5.6 万,4.5 万,2019-02-11 21:40:21.070186
33,鼎达养殖基地,基地旺财要生了，接到通知...,259.5 万,7.3 万,14.9 万,2019-02-11 21:40:21.070186
34,李雨霏2007,砰砰砰！,258.9 万,4.7 万,10.8 万,2019-02-11 21:40:21.070186
35,颜人中,聽說大陸比較流行這首歌~...,257.1 万,4.4 万,9.9 万,2019-02-11 21:40:21.070186
36,美丽人生,没有想到，初二到妈妈家，...,255.6 万,6.6 万,9.0 万,2019-02-11 21:40:21.070186
37,迟  骋  虎虎龙虾,老妈第一次尝试大姑夫的吃...,255.4 万,7.2 万,15.9 万,2019-02-11 21:40:21.070186
38,那伤龘真痛,你再脆弱再不堪一击，但是...,252.5 万,8.3 万,12.3 万,2019-02-11 21:40:21.070186
39,欢子,@欢子 发了一个抖音短视...,252.4 万,8.4 万,3.2 万,2019-02-11 21:40:21.070186
40,西木西木,"今天又是音乐课,我的老师...",252.1 万,2.8 万,7.8 万,2019-02-11 21:40:21.070186
41,一只小魔兽,#女生生气时 #每帧都是...,251.2 万,7.2 万,19.2 万,2019-02-11 21:40:28.905159
42,゛理想三旬,仿佛看到了一片星河,251.2 万,5.8 万,10.3 万,2019-02-11 21:40:28.905159
43,狮子座的先森,取你是我一生的梦想，终于...,251.0 万,6.1 万,6.6 万,2019-02-11 21:40:28.905159
44,亦成（高能舞团）,今天去街拍啦 一下子就围...,250.4 万,7.5 万,2.0 万,2019-02-11 21:40:28.905159
45,夏V艺,兄dei，我们秋名山见！,249.2 万,3.5 万,3.9 万,2019-02-11 21:40:28.905159
46,警界君,没有露脸的警察，要不要点...,247.0 万,6.4 万,2761,2019-02-11 21:40:28.905159
47,阎王高兴得很       ,2019暴富#暴富暴富...,246.9 万,8.3 万,20.7 万,2019-02-11 21:40:28.905159
48,哥只是个传说,@抖音小助手 你们上班了...,245.5 万,5.7 万,11.5 万,2019-02-11 21:40:28.905159
49,東方戰,老婆玩得挺嗨！我、岳父、...,245.1 万,5.8 万,7.5 万,2019-02-11 21:40:28.920850
50,武悦,#亲妈鉴定 爸，我是帮你...,243.4 万,2.7 万,3.9 万,2019-02-11 21:40:28.920850
51,张十八,长不大的孩子总是欢乐多，...,241.4 万,4.0 万,8.4 万,2019-02-11 21:40:36.600088
52,皮皮虾APP,#皮这一下有几分 #搞笑...,240.4 万,3.1 万,9.9 万,2019-02-11 21:40:36.600088
53,张大仙,这才是爱情最好的模样！,239.3 万,5.8 万,16.0 万,2019-02-11 21:40:36.601088
54,恋爱圈,#爱情 中，想要自由的前...,238.9 万,7.6 万,15.9 万,2019-02-11 21:40:36.601088
55,小松龙虾,皮皮虾现场版～,238.5 万,6.6 万,13.9 万,2019-02-11 21:40:36.601088
56,滇小消,真实版《保持通话》……别...,238.1 万,6.5 万,1.3 万,2019-02-11 21:40:36.601088
57,balayage巴黎画染,,237.4 万,5.6 万,2.0 万,2019-02-11 21:40:36.602089
58,熙帝,#我的年味故事 #抖音小...,237.1 万,4.6 万,8.4 万,2019-02-11 21:40:36.602089
59,嘉杰本人,不难受不难受 哈哈哈哈正...,236.9 万,6.6 万,6.0 万,2019-02-11 21:40:36.602089
60,喵小兔漫画（画师七七）,你永远不知道 你的话，从...,235.5 万,3.2 万,8.1 万,2019-02-11 21:40:36.602089
61,国际脏,小孩子不可以凶妈妈 不然...,234.4 万,6.0 万,10.9 万,2019-02-11 21:40:44.256774
62,M,初二带媳妇回娘家，终于找...,233.2 万,6.0 万,6.3 万,2019-02-11 21:40:44.256774
63,张大仙,不看手机答得上来吗？,232.2 万,10.8 万,8.9 万,2019-02-11 21:40:44.256774
64,Jor,你为什么不老！@抖音小助...,231.5 万,4.2 万,1.9 万,2019-02-11 21:40:44.256774
65,杨玉环,人丑路子野@抖音小助手 ...,231.4 万,5.7 万,2.5 万,2019-02-11 21:40:44.256774
66,钱小公子,爷爷奶奶快看我又上电视啦...,230.9 万,3.4 万,3619,2019-02-11 21:40:44.256774
67,守护-永恒,史上最悲催的乔治,230.5 万,5.6 万,12.1 万,2019-02-11 21:40:44.256774
68,啊小头,它撩我,230.4 万,3.9 万,4.7 万,2019-02-11 21:40:44.256774
69,地里热吧^_^,这坑挖的！防不胜防啊,229.4 万,4.7 万,10.0 万,2019-02-11 21:40:44.256774
70,花一村,18年风靡过全抖音的那些...,227.5 万,3.9 万,5.9 万,2019-02-11 21:40:44.256774
71,小羊羔,哈哈停电了,227.1 万,7.5 万,11.7 万,2019-02-11 21:40:51.854199
72,雅雯,女孩子出门住酒店的正确方...,226.7 万,4.4 万,12.3 万,2019-02-11 21:40:51.854199
73,雀跃小葫芦,一脸懵圈的小姐姐～好嗨哟...,225.6 万,5.2 万,4.1 万,2019-02-11 21:40:51.854199
74,江 小 白,我学会画猪啦,225.6 万,4.6 万,9.5 万,2019-02-11 21:40:51.854199
75,兰研lanyan,过年啦！谢谢阿姨这一年照...,225.5 万,6.4 万,1.1 万,2019-02-11 21:40:51.854199
76,小妖精,外婆128岁大寿，愿看到...,225.3 万,7.2 万,7666,2019-02-11 21:40:51.854199
77,张大胆不大胆,第二遍才火 @抖音小助...,225.0 万,4.1 万,7.0 万,2019-02-11 21:40:51.854199
78,人民日报,今天把特别的祝福送给为国...,224.4 万,8.1 万,7.7 万,2019-02-11 21:40:51.854199
79,娱乐啵爷,#迪丽热巴 感叹人生#...,222.9 万,2.0 万,1.2 万,2019-02-11 21:40:51.854199
80,NicoleTrip妮可旅行,台北街头艺人，看完之后大...,222.8 万,4.4 万,2.3 万,2019-02-11 21:40:51.854199
81,-    猪七岁呀,我爸开车  把我妈忘服务...,222.7 万,3.8 万,8724,2019-02-11 21:41:00.551013
82,PUSHPUSH,媳妇说从抖音上学到了新年...,220.5 万,2.1 万,1.6 万,2019-02-11 21:41:00.551013
83,半抹笑颜、,快给它逗成二傻子了 ...,220.3 万,11.5 万,14.9 万,2019-02-11 21:41:00.551013
84,Myou.,#2019好运2019加...,218.0 万,5.7 万,11.6 万,2019-02-11 21:41:00.551013
85,祝晓晗,爸，你这样真的好吗@老丈...,218.0 万,5.5 万,8.4 万,2019-02-11 21:41:00.551013
86,小东方°C,爹带娃，活着就好！,217.5 万,5.6 万,8.2 万,2019-02-11 21:41:00.551013
87,习惯了这样,再来一次！！！,217.1 万,5.6 万,3.2 万,2019-02-11 21:41:00.551013
88,Yz娴儿.,#我的年味故事 1000...,215.5 万,4.3 万,6.8 万,2019-02-11 21:41:00.551013
89,黄妤媄,三个哥，每个哥两个孩子，...,213.8 万,6.4 万,2.0 万,2019-02-11 21:41:00.551013
90,内蒙古公安宣传,大过年滴，好好开车，蜀黍...,213.3 万,5.9 万,8.1 万,2019-02-11 21:41:00.551013
91,希尔薇小哥哥,开门碰到一电梯的财神爷,208.9 万,7.1 万,2.6 万,2019-02-11 21:41:08.771371
92,真心英雄,猪年一到过新年，家家放炮...,207.5 万,4.8 万,10.7 万,2019-02-11 21:41:08.771371
93,嗯哼。,别以为戴个假发我就不认识...,205.1 万,3.4 万,2.5 万,2019-02-11 21:41:08.771371
94,Feel           ,他很喜欢吃甘蔗本想拍他不...,205.1 万,4.9 万,7490,2019-02-11 21:41:08.771371
95,BUBU,听她敲门赶紧打开了照相机...,204.9 万,3.3 万,2.2 万,2019-02-11 21:41:08.771371
96,papi酱,唉？怎么又是你在刷抖音？,203.8 万,3.7 万,9693,2019-02-11 21:41:08.771371
97,罗伟明,自从告诉爸爸我的车就几万...,201.1 万,4.6 万,3.9 万,2019-02-11 21:41:08.786999
98,杨玉环,我这个人是真的嫉恶如仇#...,201.1 万,8.9 万,1.0 万,2019-02-11 21:41:08.786999
99,张大仙,作为一个过来人，别说我没...,200.6 万,3.3 万,5.7 万,2019-02-11 21:41:08.786999
100,尧尧很爱笑,如果“正月不能剪头”不是...,200.4 万,3.4 万,6.2 万,2019-02-11 21:41:08.786999
101,木子李李,如何判断一个人是否在跟踪...,199.6 万,2.5 万,1.5 万,2019-02-11 21:41:16.661948
102,娱乐现场,国外做手术期间母亲转移了...,199.5 万,5.1 万,2335,2019-02-11 21:41:16.661948
103,浙有正能量,三个月大的宝宝从柜台上突...,197.4 万,2.7 万,4237,2019-02-11 21:41:16.661948
104,隔壁小孩,甭管我在哪，你看这灯，多...,197.1 万,5.1 万,8.4 万,2019-02-11 21:41:16.661948
105,王小弦,老妈果然信守承诺，只字未...,197.1 万,2.0 万,3.1 万,2019-02-11 21:41:16.661948
106,嘚吧嗖,心碎的声音,196.8 万,2.4 万,10.5 万,2019-02-11 21:41:16.662949
107,小警文哥,过年期间“催婚大团”来袭...,196.3 万,10.0 万,8.2 万,2019-02-11 21:41:16.662949
108,我的世界,狗肉顿兔子吃过的举手报...,195.9 万,4.7 万,7.3 万,2019-02-11 21:41:16.662949
109,妞宝,偷偷开车带宝回到苏北看老...,195.8 万,6.0 万,4073,2019-02-11 21:41:16.662949
110,噗噗和撅撅,听说你们都特别爱看它转圈...,195.1 万,4.4 万,5.7 万,2019-02-11 21:41:16.662949
111,Cancer就是我,姐弟情谊从此恩断义绝 这...,194.7 万,4.8 万,3.1 万,2019-02-11 21:41:25.297442
112,小眼睛米爸爸（有关必回）,初二跑个滴滴，竟然接到前...,193.7 万,6.4 万,1.9 万,2019-02-11 21:41:25.297442
113,多余和毛毛姐,回去就立马给你们跟新视频...,192.2 万,7.6 万,2.5 万,2019-02-11 21:41:25.297442
114,周星驰导演作品,永远不要小看群众演员的“...,192.2 万,1.3 万,4465,2019-02-11 21:41:25.297442
115,东东b,听说发第二遍会火，旋风陀...,191.7 万,3.4 万,7.6 万,2019-02-11 21:41:25.297442
116,酋长,都是黑白的，我觉得还是彩...,191.1 万,4.7 万,5.4 万,2019-02-11 21:41:25.298442
117,妙公子是个妞,你们的女神男神回家了！@...,190.8 万,1.2 万,7781,2019-02-11 21:41:25.298442
118,于和伟,“年”转眼就要过完了…新...,190.4 万,3.4 万,1.9 万,2019-02-11 21:41:25.298442
119,西木西木,噢耶！下节音乐课由我来上,189.4 万,1.4 万,3.4 万,2019-02-11 21:41:25.298442
120,477-,就在一起不分离,188.0 万,2.0 万,1.9 万,2019-02-11 21:41:25.298442
121,刺激战场 大喵Cat（职业选手）,当你在堵桥的时候你永远不...,187.9 万,3.0 万,7.6 万,2019-02-11 21:41:34.302323
122,陈翔六点半,@陈翔六点半发了一个抖音...,187.5 万,2.3 万,3.5 万,2019-02-11 21:41:34.302323
123,陈家小姐姐,100岁的外婆，一生养育...,187.5 万,4.5 万,1.0 万,2019-02-11 21:41:34.302323
124,煤炭哥,茄子最有创意的做法，鲜嫩...,186.8 万,3.0 万,15.2 万,2019-02-11 21:41:34.302323
125,郑印灏Yinhoo,糟糕！这是心动的感觉...,186.1 万,2.1 万,8656,2019-02-11 21:41:34.302323
126,多余和毛毛姐,如果过年都说实话，你想说...,186.0 万,2.8 万,6.0 万,2019-02-11 21:41:34.302323
127,小丑,走吗？约吗？滑雪切……#...,185.6 万,5.5 万,3.3 万,2019-02-11 21:41:34.302323
128,刘宇,          ...,185.6 万,2.8 万,3.3 万,2019-02-11 21:41:34.302323
129,你的盖世英雄！,连夜奔袭1700公里，开...,185.4 万,4.8 万,4360,2019-02-11 21:41:34.302323
130,Workout小伟,看看这小伙是怎么过河的！,184.9 万,4.3 万,1.2 万,2019-02-11 21:41:34.302323
131,啊闯的人生,过年了过年了，祝大家新年...,184.5 万,4.1 万,1.1 万,2019-02-11 21:41:42.316142
132,支付宝,来了，锦鲤！点个赞，这些...,184.1 万,16.2 万,8.3 万,2019-02-11 21:41:42.316142
133,绘小君,假如男生有主见的话。。。...,183.8 万,5.5 万,13.6 万,2019-02-11 21:41:42.316142
134,惠子,貌似我弟不太能接受我露西...,183.5 万,2.3 万,2.2 万,2019-02-11 21:41:42.316142
135,摄影师孙导,今天老板娘出来了……,183.3 万,4.5 万,2.8 万,2019-02-11 21:41:42.316142
136,韩饭饭,@王小弦 @小弦欧爸欧妈,182.4 万,2.4 万,1.8 万,2019-02-11 21:41:42.316142
137,你真的很烦,再发一遍,182.3 万,4.1 万,4.3 万,2019-02-11 21:41:42.316142
138,柯斩仙,我也想你了@Ruruuu...,181.9 万,5.7 万,4.8 万,2019-02-11 21:41:42.316142
139,℡ Corpse、胖虎,一个人过春节也可以很浪漫...,181.6 万,5.0 万,12.9 万,2019-02-11 21:41:42.316142
140,哈K,猜猜给哈K包了多少压岁钱...,181.4 万,2.6 万,3.8 万,2019-02-11 21:41:42.316142
141,i_zzzy,桶哥，我来救你啦！赶紧心...,181.3 万,2.9 万,2.8 万,2019-02-11 21:41:50.353596
142,张嘉琪的搞笑一家人,看到我妈的表情我都有点不...,180.9 万,4.7 万,7.0 万,2019-02-11 21:41:50.353596
143,祝晓晗,年轻人，一定要稳重！@老...,180.4 万,1.3 万,2956,2019-02-11 21:41:50.353596
144,唐唐,看完红包的吐槽与悲伤，突...,180.3 万,2.4 万,2.5 万,2019-02-11 21:41:50.353596
145,AG超玩会梦泪,#王者荣耀 #假期游戏日...,179.8 万,2.8 万,1.2 万,2019-02-11 21:41:50.353596
146,比格费西,哈喽 西双版纳,179.0 万,5.7 万,2.9 万,2019-02-11 21:41:50.353596
147,好吃恐龙哥,岳云鹏说的没错，划重点，...,178.2 万,4.1 万,7.6 万,2019-02-11 21:41:50.353596
148,许愿,这表演是真的厉害，感觉好...,177.8 万,4.8 万,2.7 万,2019-02-11 21:41:50.353596
149,西木西木,老师放大招了 我该怎么接,177.7 万,1.3 万,2.9 万,2019-02-11 21:41:50.353596
150,Extraterrestrial,嗯，两个弟弟一个妹妹抛下...,177.5 万,1.2 万,5880,2019-02-11 21:41:50.353596
151,这就是爱豆,#杨幂 #邓紫棋 #陈伟...,177.3 万,5792,5460,2019-02-11 21:41:57.901776
152,大脸哥,拜个年不容易啊！,176.6 万,6.9 万,9.8 万,2019-02-11 21:41:57.901776
153,唐唐,笑死了！过年陪熊孩子看奥...,176.4 万,2.2 万,4.0 万,2019-02-11 21:41:57.901776
154,小雨,你们鼓捣老公的时候他会急...,176.3 万,4.5 万,6.6 万,2019-02-11 21:41:57.901776
155,Yuki雪雪,要做今年第一个夸你的人！,176.0 万,3.5 万,9750,2019-02-11 21:41:57.901776
156,婕妤,#笑成大头鬼   后面的...,175.6 万,1.5 万,3.8 万,2019-02-11 21:41:57.901776
157,知北家居,地震来临，饭馆老板第一时...,175.2 万,3.6 万,8710,2019-02-11 21:41:57.901776
158,papi酱,#过年七天的妈妈,174.9 万,1.4 万,3.5 万,2019-02-11 21:41:57.901776
159,会说话的刘二豆,带着我的“小棉袄”和“小...,174.9 万,3.2 万,1.1 万,2019-02-11 21:41:57.901776
160,老丈人说车,#拜年 祝愿看到这条视频...,174.8 万,1.9 万,2.5 万,2019-02-11 21:41:57.901776
161,大树君,“世上只有母亲会一直包容...,174.8 万,3.2 万,2.6 万,2019-02-11 21:42:06.512726
162,嗨了个森,希望以后的日子，抬头遇见...,173.9 万,4.5 万,12.3 万,2019-02-11 21:42:06.512726
163,小明与婷姐,行呀！还学会和老丈人告状...,173.8 万,4.8 万,3.4 万,2019-02-11 21:42:06.512726
164,肖豪,我像个自闭患者自我拉扯,173.8 万,5.8 万,9.7 万,2019-02-11 21:42:06.512726
165,斜杠女青年,学会了、以后就这么宠爱我...,173.3 万,10.2 万,8.0 万,2019-02-11 21:42:06.512726
166,扒圈圈,不管你多红，也逃不过走亲...,173.1 万,2.0 万,1.3 万,2019-02-11 21:42:06.512726
